State,Mean_CWI,r_CWI_Demand,p_value,n_obs
West Bengal,9.298269170252129e-17,0.57671041011493,2.0768950306394095e-82,917
Assam,-6.353817266338955e-16,0.5728492161513762,4.338629241010231e-81,917
Bihar,9.298269170252129e-17,0.554757106939037,3.9327083618488095e-75,917
Uttar Pradesh,2.1695961397254967e-16,0.5349048955520253,5.300204241814686e-69,917
Delhi,-2.3245672925630322e-17,0.5185859319768347,2.9232465780596557e-64,917
Punjab,-1.0073124934439806e-16,0.5066287175958117,6.025035475269595e-61,917
Haryana,-7.748557641876774e-18,0.4783788111646335,1.2786268588813917e-53,917
Chandigarh,-8.523413406064451e-17,0.46298270561268645,6.612903168622634e-50,917
Odisha,-7.748557641876774e-17,0.3637010768410032,4.638025507363976e-30,917
Nagaland,-5.114048043638671e-16,0.34575342182288354,3.822560339618454e-27,917
Tripura,-1.0073124934439806e-16,0.18861800360840192,8.62939964658291e-09,917
Dadra And Nagar Haveli And Daman And Diu,-6.353817266338955e-16,0.17095149621183087,1.9080750556273672e-07,917
Jharkhand,-1.3947403755378194e-16,0.14984389699779851,5.1855524723360505e-06,917
Puducherry,-2.5957668100287194e-16,0.050390308937388134,0.12730721111830598,917
Uttarakhand,0.0,-0.02022427181771291,0.540763551006237,917
Arunachal Pradesh,-3.564336515263316e-16,-0.09253307582145086,0.0050428506396344094,917
Kerala,5.656447078570045e-16,-0.1097013612988916,0.000876309735862073,917
Chhattisgarh,1.2411226825503933e-16,-0.17793589513481584,5.917314809364293e-08,916
Tamil Nadu,3.6805648798914676e-16,-0.1830543603872034,2.3649741690540368e-08,917
Goa,-1.0073124934439806e-16,-0.21361754173236855,6.338596854627547e-11,917
Gujarat,6.973701877689097e-17,-0.33430582589473756,2.21727351068728e-25,917
Manipur,2.0146249868879612e-16,-0.3534044468760923,2.3023662431718987e-28,917
Andhra Pradesh,-4.0292499737759224e-16,-0.3937872655799759,2.2088372856516362e-35,917
Telangana,3.874278820938387e-17,-0.39979930493225946,1.6313661757643984e-36,917
Jammu And Kashmir,1.239769222700284e-16,-0.4200069785352767,1.7158567477813078e-40,917
Himachal Pradesh,-1.239769222700284e-16,-0.4207664566154513,1.2011521005621213e-40,917
Meghalaya,1.3172547991190516e-16,-0.44681489434161886,3.321107306411667e-46,917
Sikkim,-1.3172547991190516e-16,-0.5015308017349089,1.4235321160634753e-59,917
Mizoram,-1.472225951956587e-16,-0.5117667272956572,2.3551867987836974e-62,917
Karnataka,-3.2156514213788613e-16,-0.5523401921873032,2.307263933561937e-74,917
Rajasthan,4.6491345851260644e-17,-0.570200441709448,3.409892523336778e-80,917
Maharashtra,3.874278820938387e-16,-0.6277441779521306,1.2113023634288487e-101,917
Madhya Pradesh,-2.3245672925630322e-17,-0.7319289280977131,1.2825972190967207e-154,917
