State,n_days,r_Temp_Avg,r_Humidity,r_Rainfall,r_Shortage_MW,r_Energy_Met_MU,r_Drawal_Schedule_MU,r_OD_UD_MU,r_Max_OD_MW,r_Energy_Shortage_MU
Assam,917,0.8854814933114126,0.24187368591851946,0.20598367953446345,-0.002898287224926711,0.9758828859445178,0.9658433136302268,0.19753142128133636,0.25486786408669776,0.03967670431443415
West Bengal,917,0.8665260588395918,0.23970917312495477,0.22848069839836982,,0.9771177348530956,0.9385607967777946,0.2016050201338811,0.39195124739129555,0.03268286857163648
Kerala,917,0.8009741528781039,-0.5318550703969755,-0.4144386565019491,0.13023260340855622,0.9605563431957138,0.7117154409429878,0.12263541998313648,0.15457445079188,0.07015452638937718
Odisha,917,0.7526069972824855,-0.09269433994876822,0.036571048296413756,-0.034795413008188954,0.9041709211327154,0.7297411449997414,0.2480025235726401,0.32487124056939154,0.02300039329484616
Puducherry,917,0.7497965493182669,-0.4637396806905492,-0.21567627588502467,0.11742408451234941,0.9278609297839994,0.9266590006410388,0.32376938005893807,0.30712377751113484,0.12738160544452204
Bihar,917,0.7443213762551025,0.07516238100845227,0.22501353151097966,0.005133950062721596,0.9730210056044736,0.9722300595553502,-0.1992807603044725,0.248984623843827,0.04964670416761911
Uttar Pradesh,917,0.7296297987263904,0.0496992809857048,0.2170025593366558,0.0792335726538158,0.97105567500888,0.9113362474155686,0.13168926753690827,0.019046124264518554,0.09361256831098819
Goa,917,0.7236194295421156,-0.5309227991380823,-0.4893599653371394,-0.007384457227791301,0.7480193118807411,0.7226804691749951,-0.046859426582477944,0.08657622522437627,0.007859832211067735
Tamil Nadu,917,0.7016039586196281,-0.6354518812996379,-0.34713610250546106,,0.9619767506369223,0.5584224420383516,0.1377786601332472,0.07462732562914862,0.020210237219754436
Punjab,917,0.6554776962008688,0.14962638553939037,0.1142458636793988,-0.13663203956931896,0.9785078207812935,0.9537982657633235,-0.04240214417787137,0.21200311826963839,-0.1661622109449172
Delhi,917,0.6415948096636316,0.0808771253624075,0.19198114687182152,,0.9658048362883007,0.9352816336307298,-0.2106943736191434,0.08498912281995163,0.015586968539275011
Haryana,917,0.6382494246268815,0.04220030611463073,0.17145676218152325,-0.0367150511489592,0.979129049316444,0.9485219938995766,0.007972998100313404,0.1382694933103943,0.1630981192888704
Chandigarh,917,0.5749891688273592,0.18303070636341068,0.09968605617725843,,0.9666159813951486,0.9504582775834963,0.1698019018144227,0.2863868174103999,
Karnataka,917,0.41607902069060987,-0.7917592756165633,-0.49411015722237056,0.04726978165436252,0.960805023412561,0.7994516518345535,0.2434027735321863,0.29052143792955204,0.08868092006603924
Andhra Pradesh,917,0.3474306532465489,-0.5032755964372138,-0.4554474081650696,0.0072339494745579675,0.9011011514503868,0.6464649483212009,0.21501245558864002,0.08816534184634435,0.09308183042287464
Chhattisgarh,916,0.3455662208148419,-0.4308419345780168,-0.23242532428494406,0.09159369335521712,0.9655910113772284,0.8660364394531257,0.2274120431736903,0.225623675916958,0.18846707503434565
Nagaland,917,0.34491094993264465,0.3624893859276683,0.10224938078006353,,0.5709862377925595,0.6674249196686304,-0.018480139147915506,0.10751013950587679,0.024096041615747632
Tripura,917,0.3327118775084566,0.08190737632378374,-0.010241364628210415,,0.380496195305658,0.30693650764353775,0.16335033562251866,0.13963284675308157,
Gujarat,917,0.32518939242876405,-0.5379641219637724,-0.4112003181100534,0.05674085399619605,0.8909826564945277,0.36915008738217525,-0.04417778802363223,-0.020240250891208816,0.07190830317101808
Jharkhand,917,0.3064392768508035,-0.00023956105435943254,-0.023202814338813077,-0.2997120283261126,0.8916195148230283,0.7132076259214652,0.33563862288366125,0.10420457721184599,-0.45836984442174505
Maharashtra,917,0.27609382368825336,-0.8124066318363613,-0.5952992068265962,0.037570164982434325,0.9212018541298377,0.6636532589791829,0.2962876607278827,0.09630041582761821,0.06722459619396177
Uttarakhand,917,0.18527284907225314,-0.09543984476725079,-0.13309297123513641,-0.0021608368613770944,0.8453764834128537,0.4382942864509618,0.13586703673690947,0.14615237493573785,-0.05244178465658318
Arunachal Pradesh,917,0.13497710873920762,-0.07091398586498156,-0.2777429850474727,,0.7484414640176001,0.7237111493924698,0.13311211370546452,-0.009150302823700694,
Dadra And Nagar Haveli And Daman And Diu,917,0.03129777362532749,0.16977315761847026,0.1330979940128078,,0.8152402258650461,0.71417799728493,0.42515151482945057,0.09650771788193123,-0.015273772305877656
Telangana,917,-0.1354159871086403,-0.26151432020448784,-0.26536066890904986,,0.9362608969596224,0.8311480515428679,-0.18296896324394035,0.16775813154075772,
Rajasthan,917,-0.3819993014726911,-0.26129304676765314,-0.44436028580691783,0.03864322447047134,0.8730626386971058,0.6273636105468687,0.37207910401537225,0.1456118187325622,0.1374172811890163
Manipur,917,-0.39092737998452787,-0.17337413565332127,-0.2371236694160666,-0.040544023723546894,0.6488859411707792,0.7528812960734758,0.034823740693427106,0.26217198073635134,0.05178339552801192
Meghalaya,917,-0.5070966512539944,-0.31584615117590703,-0.21607640775493425,-0.1727119482528971,0.744850920980912,0.5230919404871924,-0.0021167637124664632,0.17719153497241374,-0.19402836876881546
Himachal Pradesh,917,-0.5337600129788176,-0.29536319493983937,-0.10926989629967614,-0.047849568847300475,0.6891211635336831,0.6215718404821015,-0.10561784344244063,0.09477387846354951,-0.05139666360053952
Jammu And Kashmir,917,-0.5732658119809168,-0.16191041154569347,-0.0811991469142529,-0.12083646280363243,0.8190177291266126,0.7142827910175314,-0.21790887804548745,0.2747677281092241,-0.08233658276379327
Mizoram,917,-0.5765930468981727,-0.2711893461837293,-0.3344107172001286,,0.5063872631554,0.22158377925674283,0.2560566492927164,0.23044265336844472,
Madhya Pradesh,917,-0.5874416645398542,-0.31016592939848064,-0.48349650785355774,0.1729639880216872,0.9462513670798474,0.926603822113753,-0.0746486662480703,0.31866441896845643,0.16045694974924307
Sikkim,917,-0.7132286268306693,-0.35884388277251383,-0.08045335681611701,,0.92627698763458,0.8236534280452196,0.2211335616696567,0.2175630367477511,
Other,917,,,,,0.9999999999999983,0.9999999999999988,-0.9999999999999994,1.0,
