State,Year,Month,Avg_Max_Demand_MW,Sum_Energy_Met_MU,Avg_Temp,Avg_Humidity,Total_Rainfall
Andhra Pradesh,2023,4,11697.966666666667,7050.42,30.896666666666665,66.91111111111111,45.4
Andhra Pradesh,2023,5,10786.322580645161,6869.97,32.00752688172043,69.05376344086021,131.33333333333334
Andhra Pradesh,2023,6,11485.066666666668,7112.78,33.455,58.32222222222222,50.8
Andhra Pradesh,2023,7,9648.548387096775,6332.08,29.61236559139785,73.59139784946237,304.4666666666667
Andhra Pradesh,2023,8,11584.193548387097,7174.66,30.612903225806452,69.48387096774194,99.6
Andhra Pradesh,2023,9,10384.033333333333,6550.21,29.6,77.16666666666667,221.63333333333333
Andhra Pradesh,2023,10,12035.290322580646,7279.68,29.193010752688174,70.49462365591398,29.9
Andhra Pradesh,2023,11,10486.033333333333,6296.19,26.977777777777778,78.48888888888888,149.23333333333332
Andhra Pradesh,2023,12,9445.451612903225,5756.1,24.371505376344086,79.7741935483871,196.26666666666668
Andhra Pradesh,2024,1,11435.032258064517,6452.9,24.82043010752688,76.79569892473118,13.299999999999999
Andhra Pradesh,2024,2,12449.689655172413,6657.55,26.95287356321839,74.65517241379311,7.466666666666667
Andhra Pradesh,2024,3,12748.741935483871,7348.34,29.37311827956989,71.13978494623656,7.499999999999999
Andhra Pradesh,2024,4,12739.566666666668,7347.1,32.272777777777776,66.11111111111111,1.433333333333333
Andhra Pradesh,2024,5,11355.366666666667,6809.5,32.39333333333333,70.52222222222221,188.63333333333333
Andhra Pradesh,2024,6,10143.8,6349.41,30.96333333333333,72.02222222222221,219.46666666666667
Andhra Pradesh,2024,7,9638.451612903225,6353.38,28.764516129032256,78.16129032258064,295.8666666666667
Andhra Pradesh,2024,8,10527.064516129032,6844.71,29.266129032258064,77.94623655913979,270.8666666666667
Andhra Pradesh,2024,9,10163.8,6432.04,28.596666666666668,78.15555555555555,339.6666666666667
Andhra Pradesh,2024,10,9796.709677419354,6381.81,28.1247311827957,80.6021505376344,141.2
Andhra Pradesh,2024,11,10159.633333333333,6166.33,26.695555555555554,72.5,104.06666666666666
Andhra Pradesh,2024,12,9498.103448275862,5525.01,25.250574712643676,80.17241379310344,131.76666666666665
Andhra Pradesh,2025,1,11146.838709677419,6356.59,24.298924731182794,74.52688172043011,3.599999999999999
Andhra Pradesh,2025,2,12357.892857142857,6580.81,27.28988095238095,72.26190476190476,1.933333333333333
Andhra Pradesh,2025,3,12597.806451612903,7599.72,29.581182795698926,69.23655913978494,3.9999999999999996
Andhra Pradesh,2025,4,11963.3,7088.64,31.173888888888886,69.38888888888889,21.9
Andhra Pradesh,2025,5,10390.322580645161,6636.3,30.84731182795699,72.55913978494624,148.5
Andhra Pradesh,2025,6,10625.733333333334,6659.76,31.24722222222222,65.23333333333333,93.1
Andhra Pradesh,2025,7,10635.677419354839,6926.13,30.146236559139783,68.72043010752687,140.53333333333333
Andhra Pradesh,2025,8,10305.58064516129,6796.41,29.386021505376345,74.35483870967742,233.13333333333333
Andhra Pradesh,2025,9,10167.266666666666,6551.15,29.091666666666665,77.38888888888889,183.83333333333334
Andhra Pradesh,2025,10,10236.666666666666,1300.45,28.855555555555554,76.6111111111111,43.0
Arunachal Pradesh,2023,4,154.63333333333333,72.67,22.623333333333335,75.71666666666667,288.5
Arunachal Pradesh,2023,5,152.09677419354838,77.21000000000001,24.13951612903226,78.74193548387096,404.45
Arunachal Pradesh,2023,6,155.53333333333333,81.63,26.915833333333335,83.01666666666667,723.1
Arunachal Pradesh,2023,7,152.90322580645162,82.94,27.62741935483871,83.87096774193549,416.75
Arunachal Pradesh,2023,8,159.2258064516129,89.74,27.419354838709676,85.45161290322581,598.1
Arunachal Pradesh,2023,9,166.23333333333332,90.47,28.145,78.98333333333333,166.45
Arunachal Pradesh,2023,10,154.1290322580645,83.72,24.398387096774194,77.93548387096774,284.55
Arunachal Pradesh,2023,11,155.7,79.31,21.5125,66.6,14.799999999999999
Arunachal Pradesh,2023,12,163.7741935483871,87.45,18.94112903225807,63.58064516129032,9.85
Arunachal Pradesh,2024,1,170.03225806451613,88.73,16.348387096774193,64.58064516129032,17.849999999999998
Arunachal Pradesh,2024,2,172.06896551724137,89.22,16.798275862068966,72.56896551724138,111.55
Arunachal Pradesh,2024,3,165.8709677419355,88.92,20.84032258064516,70.38709677419355,114.2
Arunachal Pradesh,2024,4,159.7,75.41,23.14,76.76666666666667,322.0
Arunachal Pradesh,2024,5,155.83333333333334,83.33,25.68,76.21666666666667,305.8
Arunachal Pradesh,2024,6,154.9,84.19,26.85,85.53333333333333,862.1
Arunachal Pradesh,2024,7,154.51612903225808,89.67,28.16532258064516,82.66129032258064,514.75
