State,Year,Season,Avg_Max_Demand_MW,Sum_Energy_Met_MU,Avg_Temp,Avg_Humidity,Total_Rainfall
Andhra Pradesh,2023,Monsoon,10772.852459016394,27169.73,30.808469945355192,69.67213114754098,676.5
Andhra Pradesh,2023,Post-Monsoon,11273.360655737704,13575.87,28.103551912568307,74.42622950819673,179.13333333333333
Andhra Pradesh,2023,Summer,11234.672131147541,13920.39,31.46120218579235,68.0,176.73333333333335
Andhra Pradesh,2023,Winter,9445.451612903225,5756.1,24.371505376344086,79.7741935483871,196.26666666666668
Andhra Pradesh,2024,Monsoon,10117.696721311475,25979.54,29.391393442622952,76.59562841530054,1125.8666666666668
Andhra Pradesh,2024,Post-Monsoon,9975.196721311475,12548.14,27.421857923497267,76.61748633879782,245.26666666666665
Andhra Pradesh,2024,Summer,12286.362637362638,21504.94,31.32472527472527,69.27838827838828,197.56666666666666
Andhra Pradesh,2024,Winter,11134.516853932584,18635.46,25.65543071161049,77.19850187265918,152.53333333333333
Andhra Pradesh,2025,Monsoon,10434.172131147541,26933.45,29.964480874316937,71.42622950819673,650.6
Andhra Pradesh,2025,Post-Monsoon,10236.666666666666,1300.45,28.855555555555554,76.6111111111111,43.0
Andhra Pradesh,2025,Summer,11647.076086956522,21324.66,30.527173913043477,70.40579710144927,174.4
Andhra Pradesh,2025,Winter,11721.57627118644,12937.4,25.718361581920902,73.45197740112995,5.533333333333332
Arunachal Pradesh,2023,Monsoon,158.4344262295082,344.78,27.526844262295082,82.86065573770492,1904.4
Arunachal Pradesh,2023,Post-Monsoon,154.9016393442623,163.03,22.97909836065574,72.36065573770492,299.35
Arunachal Pradesh,2023,Summer,153.34426229508196,149.88,23.393852459016394,77.25409836065573,692.95
Arunachal Pradesh,2023,Winter,163.7741935483871,87.45,18.94112903225807,63.58064516129032,9.85
Arunachal Pradesh,2024,Monsoon,162.75409836065575,358.62,27.86700819672131,82.75409836065573,1812.0
Arunachal Pradesh,2024,Post-Monsoon,148.72131147540983,162.08,22.60327868852459,75.58196721311475,298.85
Arunachal Pradesh,2024,Summer,160.52747252747253,247.66,23.193956043956046,74.41208791208791,742.0
