State,n_days,report_img
Andhra Pradesh,917,outputs/state_reports/Andhra Pradesh_demand_temp.png
Arunachal Pradesh,917,outputs/state_reports/Arunachal Pradesh_demand_temp.png
Assam,917,outputs/state_reports/Assam_demand_temp.png
Bihar,917,outputs/state_reports/Bihar_demand_temp.png
Chandigarh,917,outputs/state_reports/Chandigarh_demand_temp.png
Chhattisgarh,916,outputs/state_reports/Chhattisgarh_demand_temp.png
Dadra And Nagar Haveli And Daman And Diu,917,outputs/state_reports/Dadra And Nagar Haveli And Daman And Diu_demand_temp.png
Delhi,917,outputs/state_reports/Delhi_demand_temp.png
Goa,917,outputs/state_reports/Goa_demand_temp.png
Gujarat,917,outputs/state_reports/Gujarat_demand_temp.png
Haryana,917,outputs/state_reports/Haryana_demand_temp.png
Himachal Pradesh,917,outputs/state_reports/Himachal Pradesh_demand_temp.png
Jammu And Kashmir,917,outputs/state_reports/Jammu And Kashmir_demand_temp.png
Jharkhand,917,outputs/state_reports/Jharkhand_demand_temp.png
Karnataka,917,outputs/state_reports/Karnataka_demand_temp.png
Kerala,917,outputs/state_reports/Kerala_demand_temp.png
Madhya Pradesh,917,outputs/state_reports/Madhya Pradesh_demand_temp.png
Maharashtra,917,outputs/state_reports/Maharashtra_demand_temp.png
Manipur,917,outputs/state_reports/Manipur_demand_temp.png
Meghalaya,917,outputs/state_reports/Meghalaya_demand_temp.png
Mizoram,917,outputs/state_reports/Mizoram_demand_temp.png
Nagaland,917,outputs/state_reports/Nagaland_demand_temp.png
Odisha,917,outputs/state_reports/Odisha_demand_temp.png
Other,917,outputs/state_reports/Other_demand_temp.png
Puducherry,917,outputs/state_reports/Puducherry_demand_temp.png
Punjab,917,outputs/state_reports/Punjab_demand_temp.png
Rajasthan,917,outputs/state_reports/Rajasthan_demand_temp.png
Sikkim,917,outputs/state_reports/Sikkim_demand_temp.png
Tamil Nadu,917,outputs/state_reports/Tamil Nadu_demand_temp.png
Telangana,917,outputs/state_reports/Telangana_demand_temp.png
Tripura,917,outputs/state_reports/Tripura_demand_temp.png
Uttar Pradesh,917,outputs/state_reports/Uttar Pradesh_demand_temp.png
Uttarakhand,917,outputs/state_reports/Uttarakhand_demand_temp.png
West Bengal,917,outputs/state_reports/West Bengal_demand_temp.png
